16666666
5700561363539	5700589013375	5700572053573
5700576514684	5700606030383	5700579507547
5700593794463	5700623123728	5700596018135
5700611277141	5700639030091	5700623071639
5700627443278	5700656043393	5700629519227
5700644734469	5700673040805	5700655995444
5700660390105	5700689135354	5700663061453
5700678284035	5700706151917	5700689102331
5700693830387	5700722078094	5700696129813
5700711324185	5700739083607	5700722047550
5700726269653	5700756106403	5700729650217
5700744390393	5700773085892	5700746532399
5700761391793	5700789114051	5700763129289
5700778725283	5700806074801	5700789073432
5700794372794	5700822094803	5700796323743
5700811407649	5700838963006	5700822052521
5700826547203	5700856082155	5700829487490
5700843989498	5700873037261	5700846264404
5700860658668	5700889107457	5700862961330
5700879244557	5700906066272	5700889067567
5700894844178	5700923052576	5700896929052
5700911392590	5700939111814	5700923021615
5700928532301	5700956156441	5700939064488
5700944175963	5700973175655	5700946330786
5700960736169	5700989180096	5700963095288
5700977488220	5701008083163	5700979758020
5700993969568	5701024055590	5700996284677
5701014055247	5701041141234	5701024025037
5701031072943	5701056146943	5701041292017
5701046537494	5701073204386	5701056115896
5701060758609	5701089104344	5701062985998
5701078276437	5701106144399	5701089075486
5701093572633	5701123152466	5701096190486
5701111449308	5701145062151	5701123122137
5701134708037	5701160063435	5701134999393
5701150799704	5701173018842	5701160016406
5701163752356	5701188984059	5701172987447
5701177371156	5701206080736	5701179413490
5701193739770	5701222094383	5701196130974
5701211324729	5701239129470	5701222065400
5701225485973	5701255944822	5701239099847
5701244168227	5701273056636	5701246064136
5701260725995	5701289064508	5701263022762
5701276888945	5701306075047	5701279513489
5701293828520	5701321977047	5701296169313
5701311360572	5701339289365	5701321935670
5701327374075	5701356142178	5701339258884
5701344929266	5701373068822	5701356108921
5701360766277	5701389031254	5701362997051
5701378402091	5701405976564	5701388994904
5701395264498	5701422065253	5701396109813
5701411625438	5701438985852	5701422034029
5701426950212	5701456056409	5701429502770
5701444163261	5701472988163	5701446075687
5701460902748	5701489060756	5701462974647
5701477622246	5701505912768	5701489030190
5701493746792	5701522204432	5701496136774
5701511335121	5701539023400	5701522166287
5701526691229	5701556120741	5701529495517
5701543983257	5701573104926	5701546177392
5701560692114	5701589200376	5701562913379
5701578319789	5701606085294	5701589152156
5701594274851	5701622931765	5701596382676
5701611471126	5701638945619	5701613267117
5701628158010	5701655929634	5701638908108
5701643598399	5701672941092	5701646251377
5701660638648	5701689027290	5701662943097
5701677069569	5701705959818	5701679559323
5701693727055	5701722017992	5701695972308
5701711464746	5701739041283	5701721989585
5701726344289	5701756145036	5701739008215
5701744280414	5701772134350	5701746203564
5701761380050	5701788922799	5701772102188
5701777351184	5701805984290	5701779580561
5701793622331	5701821948459	5701795970396
5701811441949	5701839079469	5701821925527
5701826022449	5701855982813	5701839035185
5701844272404	5701872054363	5701846157324
5701861032570	5701889032211	5701872031441
5701877195605	5701905990514	5701879456240
5701894230759	5701923034751	5701896126278
5701911354086	5701938910821	5701912889657
5701928326292	5701955955008	5701938880962
5701943426868	5701972080687	5701946020971
5701961295534	5701989051769	5701972042463
5701978007603	5702005920051	5701989021720
5701993187516	5702022010053	5701996052849
5702011292620	5702039268267	5702021976410
5702026684563	5702055991610	5702039231288
5702044352151	5702073100884	5702046248380
5702061369038	5702089070528	5702073050146
5702079749506	5702106008944	5702089221927
5702094876579	5702121966775	5702105975581
5702111527538	5702139052917	5702121940884
5702126236267	5702156074463	5702129495539
5702144343024	5702172387388	5702156041425
5702160711353	5702189127621	5702162799886
5702177708900	5702206030321	5702189097212
5702193696413	5702222078722	5702196152460
5702211646362	5702239057738	5702222048927
5702226674144	5702256052349	5702229496053
5702243953089	5702273133151	5702246220871
5702260827370	5702289022278	5702262941190
5702278315179	5702306037390	5702288995141
5702293755330	5702321966101	5702296078343
5702311316477	5702339025823	5702321937226
5702326325494	5702356037895	5702329459345
5702344455538	5702371966807	5702355997212
5702360477187	5702388921743	5702362826094
5702376320533	5702405898511	5702379472007
5702393883968	5702421964738	5702396217020
5702411255683	5702438994601	5702421934396
5702426790144	5702456046132	5702429363431
5702444310944	5702472106797	5702456018545
5702460888216	5702488931272	5702472054532
5702477761100	5702506040088	5702479553196
5702493688500	5702522011093	5702496120119
5702511300660	5702539026581	5702521981048
5702526355406	5702555927369	5702529451066
5702544221720	5702571956665	5702546163951
5702560520991	5702589012064	5702562787206
5702576514061	5702606007046	5702579400902
5702593705323	5702624912093	5702596024714
5702615868246	5702639981500	5702625021273
5702630662009	5702655993413	5702640102175
5702645331537	5702673056342	5702655963050
5702660692844	5702690066703	5702662936047

